Fecha,Perfil,Tipo de Alimento,Cantidad Consumida (gr),Gasto Diario ($)
2024-03-12,Gato Luna,Beneful,343,35.418772239407296
2024-03-12,Perro Coco,Brit Care,241,18.538761865880083
2024-03-12,Gato Simba,Pedigri,77,4.004548222888493
2024-03-13,Perro Max,Pedigri,322,22.908625825288738
2024-03-13,Gato Luna,Beneful,175,10.845837306836897
2024-03-13,Perro Coco,Pedigri,62,6.780273212035102
2024-03-13,Gato Simba,Beneful,116,13.326344947382282
2024-03-14,Perro Max,Beneful,160,17.347191755426707
2024-03-14,Gato Luna,Beneful,83,8.77926080738863
2024-03-14,Perro Coco,Pedigri,285,17.886038629673564
2024-03-14,Gato Simba,Pedigri,150,12.946234445979526
2024-03-15,Perro Max,Beneful,369,39.511719442282846
2024-03-15,Gato Luna,Brit Care,414,34.376427125029835
2024-03-15,Perro Coco,Pedigri,338,17.15466147393173
2024-03-15,Gato Simba,Pedigri,247,21.374313445949227
2024-03-16,Perro Max,Beneful,380,22.33972973252547
2024-03-16,Gato Luna,Beneful,144,8.001410246740445
2024-03-16,Perro Coco,Pedigri,296,16.32841014508558
2024-03-16,Gato Simba,Brit Care,89,10.652957015061151
2024-03-17,Perro Max,Brit Care,55,4.938205794751579
2024-03-17,Gato Luna,Brit Care,53,2.6780900339073086
2024-03-17,Perro Coco,Beneful,418,41.413298973017184
2024-03-17,Gato Simba,Beneful,484,63.92969530062226
2024-03-18,Perro Max,Beneful,384,39.745410510524565
2024-03-18,Gato Luna,Beneful,484,64.78739584120703
2024-03-18,Perro Coco,Pedigri,375,55.04977749390878
2024-03-18,Gato Simba,Brit Care,261,26.298630883664277
2024-03-19,Perro Max,Pedigri,189,11.620415987570947
2024-03-19,Gato Luna,Beneful,191,15.062843566888883
2024-03-19,Perro Coco,Pedigri,431,28.20303302831812
2024-03-19,Gato Simba,Pedigri,308,16.99616493413075
2024-03-20,Perro Max,Beneful,59,6.186758395835104
2024-03-20,Gato Luna,Beneful,221,15.508243217498213
2024-03-20,Perro Coco,Beneful,133,10.03672070835806
2024-03-20,Gato Simba,Pedigri,378,47.63661310383015
2024-03-21,Perro Max,Brit Care,448,43.526613247047095
2024-03-21,Gato Luna,Brit Care,468,39.72703487421218
2024-03-21,Perro Coco,Pedigri,118,15.701309011895205
2024-03-21,Gato Simba,Beneful,383,54.881527969928264
2024-03-22,Perro Max,Brit Care,186,13.113033666990212
2024-03-22,Gato Luna,Brit Care,84,11.982175158153575
2024-03-22,Perro Coco,Beneful,109,14.625933666665166
2024-03-22,Gato Simba,Brit Care,410,51.270578915377854
2024-03-23,Perro Max,Beneful,340,22.58503712965376
2024-03-23,Gato Luna,Pedigri,388,45.209652163012564
2024-03-23,Perro Coco,Beneful,111,9.533018373770878
2024-03-23,Gato Simba,Pedigri,91,8.121250477545983
2024-03-24,Perro Max,Brit Care,153,13.417249770201087
2024-03-24,Gato Luna,Brit Care,174,13.943975010456073
2024-03-24,Perro Coco,Brit Care,112,11.230468369035766
2024-03-24,Gato Simba,Pedigri,194,27.151746721526628
2024-03-25,Perro Max,Brit Care,499,52.07328776958803
2024-03-25,Gato Luna,Brit Care,88,5.428702758233603
2024-03-25,Perro Coco,Beneful,116,13.081413415628447
2024-03-25,Gato Simba,Beneful,497,33.13651877167114
2024-03-26,Perro Max,Brit Care,206,20.50572670392169
2024-03-26,Gato Luna,Beneful,280,30.048223779206882
2024-03-26,Perro Coco,Pedigri,87,10.895907144337755
2024-03-26,Gato Simba,Pedigri,460,57.22152945834314
2024-03-27,Perro Max,Beneful,245,26.212297279347258
2024-03-27,Gato Luna,Beneful,54,7.434534438513446
2024-03-27,Perro Coco,Pedigri,167,22.064996988022614
2024-03-27,Gato Simba,Brit Care,352,47.39512066905504
2024-03-28,Perro Max,Brit Care,206,21.421129124524434
2024-03-28,Gato Luna,Pedigri,96,8.725969700020736
2024-03-28,Perro Coco,Pedigri,179,9.168434994492998
2024-03-28,Gato Simba,Brit Care,292,31.112843741830833
2024-03-29,Perro Max,Beneful,348,38.24622189425096
2024-03-29,Gato Luna,Brit Care,303,42.676052008408945
2024-03-29,Perro Coco,Beneful,183,16.48558092677461
2024-03-29,Gato Simba,Brit Care,395,57.1676919146667
2024-03-30,Perro Max,Beneful,190,12.143207688718176
2024-03-30,Gato Luna,Beneful,160,19.617529376998412
2024-03-30,Perro Coco,Brit Care,405,57.459396151560235
2024-03-30,Gato Simba,Pedigri,425,22.228460703474596
2024-03-31,Perro Max,Brit Care,155,19.704323362055938
2024-03-31,Gato Luna,Brit Care,427,24.292949730980244
2024-03-31,Perro Coco,Brit Care,78,4.713126335204114
2024-03-31,Gato Simba,Pedigri,263,37.10104701412525
2024-04-01,Perro Max,Pedigri,351,25.83030181428735
2024-04-01,Gato Luna,Beneful,159,10.912501983956519
2024-04-01,Perro Coco,Brit Care,362,30.12370013810879
2024-04-01,Gato Simba,Beneful,104,7.564914457121971
2024-04-02,Perro Max,Brit Care,198,17.410252828033865
2024-04-02,Gato Luna,Pedigri,186,13.123784435786856
2024-04-02,Perro Coco,Pedigri,166,18.321777426720306
2024-04-02,Gato Simba,Brit Care,112,10.24245134308063
2024-04-03,Perro Max,Beneful,124,17.64470687430121
2024-04-03,Gato Luna,Brit Care,259,25.403677732507006
2024-04-03,Perro Coco,Brit Care,66,7.1746502793013445
2024-04-03,Gato Simba,Brit Care,413,58.346552816908016
2024-04-04,Perro Max,Beneful,201,21.6604022772401
2024-04-04,Gato Luna,Beneful,393,31.89089562551737
2024-04-04,Perro Coco,Pedigri,112,8.708976333449483
2024-04-04,Gato Simba,Beneful,205,14.609956078995138
2024-04-05,Perro Max,Pedigri,386,56.39731425432097
2024-04-05,Gato Luna,Pedigri,197,18.01809523742237
2024-04-05,Perro Coco,Brit Care,238,16.290216339768776
2024-04-05,Gato Simba,Brit Care,306,24.784069943819496
2024-04-06,Perro Max,Beneful,264,24.467227100890184
2024-04-06,Gato Luna,Brit Care,367,25.878624805689665
2024-04-06,Perro Coco,Pedigri,354,18.99385824182256
2024-04-06,Gato Simba,Beneful,193,20.5514338719685
2024-04-07,Perro Max,Beneful,306,39.031145070867325
2024-04-07,Gato Luna,Brit Care,243,25.137278157551098
2024-04-07,Perro Coco,Pedigri,163,16.25129476578636
2024-04-07,Gato Simba,Brit Care,368,22.18971843939241
2024-04-08,Perro Max,Pedigri,104,15.039600806189778
2024-04-08,Gato Luna,Beneful,415,42.60300636636069
2024-04-08,Perro Coco,Pedigri,136,20.11346752437707
2024-04-08,Gato Simba,Beneful,440,50.99265344404666
2024-04-09,Perro Max,Pedigri,362,26.13539226197277
2024-04-09,Gato Luna,Brit Care,492,49.47098765201686
2024-04-09,Perro Coco,Beneful,298,38.73749934412105
2024-04-09,Gato Simba,Brit Care,100,11.527461078518748
2024-04-10,Perro Max,Brit Care,313,18.762515593367503
2024-04-10,Gato Luna,Beneful,337,45.68697097518182
2024-04-10,Perro Coco,Brit Care,449,40.28354047986862
2024-04-10,Gato Simba,Pedigri,231,16.285137224105465
2024-04-11,Perro Max,Brit Care,360,50.26808946676031
2024-04-11,Gato Luna,Brit Care,379,22.19077331938434
2024-04-11,Perro Coco,Brit Care,134,7.0555315319091845
2024-04-11,Gato Simba,Pedigri,452,48.95347855583009
2024-04-12,Perro Max,Beneful,51,7.19418241805555
2024-04-12,Gato Luna,Pedigri,453,37.86472332888753
2024-04-12,Perro Coco,Brit Care,435,37.54307573048644
2024-04-12,Gato Simba,Brit Care,445,59.21412554215362
2024-04-13,Perro Max,Pedigri,471,59.99760604278313
2024-04-13,Gato Luna,Pedigri,275,37.42937054930484
2024-04-13,Perro Coco,Brit Care,391,50.038568094212
2024-04-13,Gato Simba,Pedigri,251,26.750993161160668
2024-04-14,Perro Max,Brit Care,264,34.316178757009126
2024-04-14,Gato Luna,Pedigri,419,21.89146401861292
2024-04-14,Perro Coco,Beneful,58,6.041478445033028
2024-04-14,Gato Simba,Pedigri,330,25.010293619295677
2024-04-15,Perro Max,Beneful,327,43.65221874333708
2024-04-15,Gato Luna,Beneful,491,68.76809999070655
2024-04-15,Perro Coco,Beneful,264,31.23605381016071
2024-04-15,Gato Simba,Beneful,195,20.07840273377408
2024-04-16,Perro Max,Beneful,405,40.42267551719573
2024-04-16,Gato Luna,Beneful,66,5.974637380982746
2024-04-16,Perro Coco,Beneful,427,52.10265023569903
2024-04-16,Gato Simba,Pedigri,411,26.304761938944456
2024-04-17,Perro Max,Brit Care,362,27.747241840025936
2024-04-17,Gato Luna,Brit Care,217,16.290855334186674
2024-04-17,Perro Coco,Pedigri,358,24.178291774719497
2024-04-17,Gato Simba,Pedigri,450,41.34467362014328
2024-04-18,Perro Max,Beneful,171,15.766816618316755
2024-04-18,Gato Luna,Beneful,359,44.4454068297067
2024-04-18,Perro Coco,Brit Care,230,25.372498517726928
2024-04-18,Gato Simba,Beneful,78,6.936505789527417
2024-04-19,Perro Max,Brit Care,213,25.96567778042443
2024-04-19,Gato Luna,Brit Care,281,29.96597039234281
2024-04-19,Perro Coco,Beneful,104,12.10218011977154
2024-04-19,Gato Simba,Beneful,455,56.082030423066385
2024-04-20,Perro Max,Pedigri,299,15.882375738332414
2024-04-20,Gato Luna,Brit Care,276,37.0262186245572
2024-04-20,Perro Coco,Pedigri,495,72.03419747981222
2024-04-20,Gato Simba,Brit Care,250,31.77280509364555
2024-04-21,Perro Max,Pedigri,122,7.016680937176868
2024-04-21,Gato Luna,Pedigri,178,17.719745428470333
2024-04-21,Perro Coco,Brit Care,153,14.302858280637317
2024-04-21,Gato Simba,Brit Care,340,44.84947880092278
2024-04-22,Perro Max,Pedigri,157,18.7567345924145
2024-04-22,Gato Luna,Beneful,151,16.462483069723213
2024-04-22,Perro Coco,Brit Care,150,8.873731099899512
2024-04-22,Gato Simba,Brit Care,354,22.543379534531233
2024-04-23,Perro Max,Beneful,106,10.02766119335433
2024-04-23,Gato Luna,Brit Care,61,6.3555957790079844
2024-04-23,Perro Coco,Brit Care,313,35.649115760962395
2024-04-23,Gato Simba,Pedigri,264,32.31632789281086
2024-04-24,Perro Max,Beneful,249,18.66673342059373
2024-04-24,Gato Luna,Pedigri,317,22.862339305681388
2024-04-24,Perro Coco,Beneful,414,48.43458303237162
2024-04-24,Gato Simba,Beneful,65,9.264114063201827
2024-04-25,Perro Max,Brit Care,331,35.348987131292034
2024-04-25,Gato Luna,Beneful,440,23.493623057775153
2024-04-25,Perro Coco,Pedigri,56,4.465154441286284
2024-04-25,Gato Simba,Beneful,364,52.57130020372899
2024-04-26,Perro Max,Beneful,272,37.04756010690933
2024-04-26,Gato Luna,Brit Care,451,46.11179938080972
2024-04-26,Perro Coco,Brit Care,322,37.03538868427195
2024-04-26,Gato Simba,Brit Care,157,9.742900106703278
2024-04-27,Perro Max,Beneful,180,21.533197965806515
2024-04-27,Gato Luna,Beneful,232,20.984062432618938
2024-04-27,Perro Coco,Brit Care,64,8.345452668165745
2024-04-27,Gato Simba,Pedigri,458,56.69379412431885
